stop_id,lat,lon
142,45.5036302,-122.6789967
143,45.5038203,-122.6784214
654,45.506702,-122.6834736
689,45.5232505,-122.6710075
704,45.5228668,-122.660874
772,45.5229831,-122.6748052
792,45.5229495,-122.6768207
820,45.5228511,-122.6578435
838,45.4737966,-122.6484024
845,45.4737109,-122.6478594
846,45.4738968,-122.6466438
847,45.4738305,-122.6458827
848,45.474019,-122.6446611
852,45.4740258,-122.642372
853,45.4741446,-122.6426937
855,45.4742343,-122.6412748
858,45.4743054,-122.6359704
859,45.474432,-122.6375178
860,45.4734915,-122.6347629
1528,45.4757651,-122.6075042
1529,45.4759303,-122.5829083
1530,45.4758957,-122.6081297
1531,45.4757653,-122.6045289
1532,45.475896,-122.6051167
1534,45.4758973,-122.6020776
1537,45.4757629,-122.5972537
1538,45.4758997,-122.5969355
1539,45.4757754,-122.5943411
1540,45.4757432,-122.6023812
1541,45.4759191,-122.5944064
1544,45.4758188,-122.5894996
1545,45.4759456,-122.5897732
1546,45.4758159,-122.5866104
1547,45.4759558,-122.5866541
1548,45.4758314,-122.5831263
1550,45.4758115,-122.5794368
1551,45.4759337,-122.5799876
1728,45.4684125,-122.5712975
1729,45.4685605,-122.5716211
1759,45.4685812,-122.578467
1760,45.4687105,-122.5778806
1761,45.4685221,-122.5760208
1762,45.4686394,-122.5751202
1763,45.468485,-122.5740307
1764,45.4683176,-122.5679516
1765,45.468498,-122.5690102
1929,45.5021932,-122.6780279
2000,45.5265261,-122.6292622
2001,45.526359,-122.625243
2002,45.5265122,-122.6248666
2003,45.5263741,-122.6272684
2009,45.5265892,-122.6137457
2105,45.5263817,-122.6368871
2106,45.5263761,-122.6341981
2107,45.5265446,-122.6343737
2108,45.5263711,-122.6318642
2109,45.5265291,-122.6314637
2110,45.526045,-122.6229532
2111,45.5268116,-122.623055
2114,45.5263458,-122.61897
2115,45.5264897,-122.6186509
2117,45.5264798,-122.6160448
2119,45.5264291,-122.6124751
2121,45.5265755,-122.6099357
2122,45.5264235,-122.6090256
2123,45.5265689,-122.6073807
2124,45.5264178,-122.6060552
2126,45.5265648,-122.6046821
2127,45.5264082,-122.6024305
2128,45.5265672,-122.6018838
2129,45.5265599,-122.5994786
2130,45.5263966,-122.5996876
2131,45.5263935,-122.5972151
2132,45.5265638,-122.5969494
2133,45.5265418,-122.5943468
2134,45.5263889,-122.5945874
2137,45.5265241,-122.5897248
2138,45.5263638,-122.5899948
2139,45.5263627,-122.5873142
2143,45.5265049,-122.5833683
2144,45.5263551,-122.5837318
2145,45.5265018,-122.5813384
2146,45.526348,-122.5816394
2147,45.5263391,-122.5785576
2148,45.5264991,-122.5788572
2149,45.5264793,-122.576223
2151,45.5263088,-122.5750763
2153,45.5264471,-122.5711299
2155,45.5262892,-122.569427
2156,45.5264388,-122.5685257
2158,45.5262359,-122.5671673
3116,45.5019196,-122.6752201
3908,45.4945186,-122.652879
3909,45.4941125,-122.6528988
3911,45.4752261,-122.6489836
3912,45.4754398,-122.6488726
3916,45.4981932,-122.6541444
3917,45.4981276,-122.6539482
3921,45.4838554,-122.6496746
3922,45.4841701,-122.6495132
3928,45.4883661,-122.6507451
3929,45.4888589,-122.6507022
3931,45.4914954,-122.6517708
3932,45.4912181,-122.6514607
3933,45.4861057,-122.6498328
3935,45.4860146,-122.6499662
3938,45.4809238,-122.6496564
3940,45.4807662,-122.6494774
3946,45.4772707,-122.649218
3947,45.4770778,-122.6490344
4032,45.4656789,-122.5600373
4033,45.4658294,-122.5602059
4035,45.465151,-122.5576831
4036,45.4645582,-122.5560942
4037,45.4646811,-122.5558541
4039,45.4668154,-122.5640309
4040,45.4664265,-122.5626807
4537,45.5010904,-122.6544693
4538,45.5014044,-122.6546951
4701,45.5014297,-122.6571938
4702,45.5016618,-122.6572854
4813,45.4700558,-122.634287
4816,45.4691674,-122.6304272
4964,45.5002737,-122.6752349
5044,45.5255678,-122.6461651
5058,45.5237668,-122.6514285
5060,45.5245809,-122.6493672
5061,45.5249714,-122.6477839
5062,45.5251097,-122.6479261
5063,45.526159,-122.6450894
5239,45.5050471,-122.6813801
6399,45.4791592,-122.6326051
6400,45.4793113,-122.6324199
6402,45.4790863,-122.6306062
6403,45.4792788,-122.6303056
6405,45.4791867,-122.6284335
6406,45.4793745,-122.6281656
6407,45.4791572,-122.626799
6408,45.4792743,-122.625864
6409,45.4792462,-122.6224283
6411,45.4791181,-122.6207097
6412,45.4792605,-122.6203651
6413,45.4791012,-122.6185963
6414,45.4792445,-122.6183352
6415,45.4791248,-122.6156584
6416,45.4792274,-122.6152855
6419,45.4791106,-122.6121099
6420,45.4792476,-122.6121923
6421,45.4792179,-122.6099114
6567,45.4645284,-122.5479528
6839,45.5242771,-122.6494715
7172,45.477585,-122.6421888
7270,45.4732143,-122.6344778
7286,45.4775988,-122.6339811
7290,45.4702436,-122.6345034
7294,45.4749296,-122.6343227
7295,45.475131,-122.6344616
7335,45.4732415,-122.6303012
7336,45.4735288,-122.6304467
7344,45.4713005,-122.6303085
7345,45.4716926,-122.6304814
7352,45.4693717,-122.630466
7357,45.4762536,-122.6303091
7358,45.4767181,-122.6304136
7360,45.4790371,-122.6303144
7588,45.5070832,-122.6838504
7594,45.5142972,-122.6801129
7602,45.5109387,-122.6819232
7631,45.5222402,-122.6758266
7636,45.5209455,-122.6764837
7640,45.5176032,-122.6782924
7718,45.4778196,-122.6088046
7719,45.4774242,-122.6086333
7765,45.5148698,-122.6807614
7772,45.5129464,-122.6818114
7782,45.521525,-122.6771723
7807,45.5181993,-122.6789746
7950,45.4737223,-122.5791894
7970,45.4738849,-122.5789535
7982,45.4710936,-122.578913
8013,45.4710839,-122.5791734
8194,45.5305715,-122.5637735
8243,45.4791297,-122.6237026
8321,45.5295623,-122.5627873
9526,45.5230087,-122.6725292
9709,45.5265547,-122.63766
10189,45.4772564,-122.6345475
10307,45.468465,-122.5672162
10484,45.4790892,-122.6096096
10658,45.5278886,-122.5618528
10861,45.5306554,-122.5633851
10955,45.5271806,-122.56205
11831,45.5265205,-122.5866482
13145,45.4682614,-122.5653554
13193,45.5263894,-122.6409776
13194,45.5265631,-122.6412772
13327,45.5228235,-122.6538067
13328,45.523661,-122.6533914
13329,45.5236911,-122.6585494
13330,45.5237026,-122.6615244
13737,45.5263345,-122.6162829
